source,target,weight,distance,source_name,target_name
145028966,2228185935,1,1.0,R. MacMillan,Shangguan Wei
2228185935,49399380,1,1.0,Shangguan Wei,N. Batjes
100653750,2228185935,1,1.0,J. Leenaars,Shangguan Wei
2228185935,32830771,1,1.0,Shangguan Wei,E. Ribeiro
2228185935,2924968,1,1.0,Shangguan Wei,Ichsani Wheeler
2146245,2228185935,1,1.0,S. Mantel,Shangguan Wei
2228185935,4953836,1,1.0,Shangguan Wei,B. Kempen
3018223,3376186,1,1.0,X. Geng,Marvin N. Wright
1402912902,3376186,1,1.0,B. Bauer-Marschallinger,Marvin N. Wright
145669099,3376186,1,1.0,M. Guevara,Marvin N. Wright
145632581,3376186,1,1.0,R. Vargas,Marvin N. Wright
145028966,3376186,1,1.0,R. MacMillan,Marvin N. Wright
3376186,49399380,1,1.0,Marvin N. Wright,N. Batjes
100653750,3376186,1,1.0,J. Leenaars,Marvin N. Wright
32830771,3376186,1,1.0,E. Ribeiro,Marvin N. Wright
2924968,3376186,1,1.0,Ichsani Wheeler,Marvin N. Wright
2146245,3376186,1,1.0,S. Mantel,Marvin N. Wright
3376186,4953836,1,1.0,Marvin N. Wright,B. Kempen
1402912902,3018223,1,1.0,B. Bauer-Marschallinger,X. Geng
145669099,3018223,1,1.0,M. Guevara,X. Geng
145632581,3018223,1,1.0,R. Vargas,X. Geng
145028966,3018223,1,1.0,R. MacMillan,X. Geng
3018223,49399380,1,1.0,X. Geng,N. Batjes
100653750,3018223,1,1.0,J. Leenaars,X. Geng
3018223,32830771,1,1.0,X. Geng,E. Ribeiro
2924968,3018223,1,1.0,Ichsani Wheeler,X. Geng
2146245,3018223,1,1.0,S. Mantel,X. Geng
3018223,4953836,1,1.0,X. Geng,B. Kempen
1402912902,145669099,1,1.0,B. Bauer-Marschallinger,M. Guevara
1402912902,145632581,1,1.0,B. Bauer-Marschallinger,R. Vargas
1402912902,145028966,1,1.0,B. Bauer-Marschallinger,R. MacMillan
1402912902,49399380,1,1.0,B. Bauer-Marschallinger,N. Batjes
